"stationID","tz","obsTimeUtc","obsTimeLocal","epoch","lat","lon","solarRadiationHigh","uvHigh","winddirAvg","humidityHigh","humidityLow","humidityAvg","qcStatus","tempHigh","tempLow","tempAvg","windspeedHigh","windspeedLow","windspeedAvg","windgustHigh","windgustLow","windgustAvg","dewptHigh","dewptLow","dewptAvg","windchillHigh","windchillLow","windchillAvg","heatindexHigh","heatindexLow","heatindexAvg","pressureMax","pressureMin","pressureTrend","precipRate","precipTotal"
"IALICANT2","Europe/Madrid","2014-01-01T22:53:00Z","2014-01-01 23:53:00","1388616780000","38.228943","-0.525793","","","228","90","49","68","-1","17","10","13","23","2","10","27","6","15","12","2","7","","","","","","","1022.69","1018.96","-2.37","0.0","0.0"
"IALICANT2","Europe/Madrid","2014-01-02T22:55:00Z","2014-01-02 23:55:00","1388703300000","38.228943","-0.525793","","","228","90","66","75","-1","16","12","14","18","5","10","23","8","15","12","8","10","","","","","","","1019.3","1016.93","-0.68","0.0","0.0"
"IALICANT2","Europe/Madrid","2014-01-03T22:58:00Z","2014-01-03 23:58:00","1388789880000","38.228943","-0.525793","","","229","89","60","75","-1","20","13","16","18","3","11","24","8","16","14","9","12","","","","","","","1021.33","1018.29","0.68","0.0","0.0"
"IALICANT2","Europe/Madrid","2014-01-04T22:46:00Z","2014-01-04 23:46:00","1388875560000","38.228943","-0.525793","","","245","83","43","66","-1","19","12","16","39","5","16","79","11","28","14","0","9","","","","","","","1021.0","1011.18","1.35","1.02","2.03"
"IALICANT2","Europe/Madrid","2014-01-05T22:48:00Z","2014-01-05 23:48:00","1388962080000","38.228943","-0.525793","","","274","68","36","47","-1","19","11","14","45","5","18","69","10","34","7","-3","2","","","","","","","1025.4","1020.66","0.68","0.0","0.0"
"IALICANT2","Europe/Madrid","2014-01-06T22:46:00Z","2014-01-06 23:46:00","1389048360000","38.228943","-0.525793","","","237","79","55","69","-1","16","13","15","29","5","14","40","8","22","11","6","9","","","","","","","1021.33","1018.63","-0.34","0.0","0.0"
"IALICANT2","Europe/Madrid","2014-01-07T22:59:00Z","2014-01-07 23:59:00","1389135540000","38.228943","-0.525793","","","230","98","37","62","-1","18","10","13","14","0","6","23","2","9","12","1","6","","","","","","","1023.71","1020.32","2.37","0.0","0.0"
"IALICANT2","Europe/Madrid","2014-01-08T22:46:00Z","2014-01-08 23:46:00","1389221160000","38.228943","-0.525793","","","211","97","58","84","-1","14","9","12","16","0","5","16","0","7","12","2","9","","","","","","","1025.4","1023.03","1.02","0.25","0.25"
"IALICANT2","Europe/Madrid","2014-01-09T22:49:00Z","2014-01-09 23:49:00","1389307740000","38.228943","-0.525793","","","197","95","63","79","-1","14","8","12","13","0","5","16","0","8","11","3","8","","","","","","","1024.38","1020.32","-3.73","0.0","0.0"
"IALICANT2","Europe/Madrid","2014-01-10T22:53:00Z","2014-01-10 23:53:00","1389394380000","38.228943","-0.525793","","","60","92","86","89","-1","13","11","12","27","2","13","34","3","19","11","9","11","","","","","","","1020.32","1017.27","-1.69","0.0","0.0"
"IALICANT2","Europe/Madrid","2014-01-11T22:54:00Z","2014-01-11 23:54:00","1389480840000","38.228943","-0.525793","","","244","94","74","85","-1","14","10","12","16","0","4","21","0","7","11","7","9","","","","","","","1023.37","1017.27","4.74","0.0","0.0"
"IALICANT2","Europe/Madrid","2014-01-12T22:57:00Z","2014-01-12 23:57:00","1389567420000","38.228943","-0.525793","","","247","95","67","83","-1","16","8","12","18","0","8","23","0","13","12","7","10","","","","","","","1026.08","1023.03","1.35","0.0","0.0"
"IALICANT2","Europe/Madrid","2014-01-13T22:45:00Z","2014-01-13 23:45:00","1389653100000","38.228943","-0.525793","","","263","82","55","68","-1","17","10","14","27","3","12","42","6","19","10","3","8","","","","","","","1024.38","1018.29","-4.4","0.0","0.0"
"IALICANT2","Europe/Madrid","2014-01-14T22:47:00Z","2014-01-14 23:47:00","1389739620000","38.228943","-0.525793","","","266","69","53","59","-1","17","10","13","26","2","15","47","6","26","9","2","6","","","","","","","1019.64","1014.56","-2.71","0.0","0.0"
"IALICANT2","Europe/Madrid","2014-01-15T22:50:00Z","2014-01-15 23:50:00","1389826200000","38.228943","-0.525793","","","258","95","58","75","-1","18","12","15","24","0","11","35","0","19","13","9","10","","","","","","","1019.3","1014.56","-2.37","0.0","0.0"
"IALICANT2","Europe/Madrid","2014-01-16T22:52:00Z","2014-01-16 23:52:00","1389912720000","38.228943","-0.525793","","","244","95","66","87","-1","13","10","12","14","0","7","23","3","11","12","7","10","","","","","","","1014.56","1010.84","-3.72","0.51","0.76"
"IALICANT2","Europe/Madrid","2014-01-17T22:55:00Z","2014-01-17 23:55:00","1389999300000","38.228943","-0.525793","","","240","88","46","66","-1","15","10","13","16","0","6","24","0","12","11","3","6","","","","","","","1010.84","1004.4","-6.43","0.0","0.0"
"IALICANT2","Europe/Madrid","2014-01-18T22:57:00Z","2014-01-18 23:57:00","1390085820000","38.228943","-0.525793","","","182","95","66","85","-1","16","10","13","29","0","9","39","0","16","13","8","11","","","","","","","1004.4","995.94","-5.76","0.0","0.0"
"IALICANT2","Europe/Madrid","2014-01-19T22:45:00Z","2014-01-19 23:45:00","1390171500000","38.228943","-0.525793","","","262","94","64","77","-1","12","8","10","27","0","9","42","0","15","9","4","6","","","","","","","1008.81","995.94","10.16","2.03","3.56"
"IALICANT2","Europe/Madrid","2014-01-20T22:50:00Z","2014-01-20 23:50:00","1390258200000","38.228943","-0.525793","","","269","62","41","53","-1","14","8","11","37","3","17","55","11","30","4","0","2","","","","","","","1020.66","1009.14","11.51","0.0","0.0"
